family,event,ticker,yes_sub_title,open_yes_price,mid_yes_price,close_yes_price,settled_yes,n_trades_in_tape,first_trade_utc,last_trade_utc
KXHIGHAUS,KXHIGHAUS-26APR22,KXHIGHAUS-26APR22-T79,78° or below,0.3039,0.4606,0.0101,0,703,2026-04-21T14:01:25.392007Z,2026-04-23T03:43:48.677724Z
KXHIGHAUS,KXHIGHAUS-26APR22,KXHIGHAUS-26APR22-B79.5,79° to 80°,0.2367,0.4038,0.0104,0,849,2026-04-21T14:04:08.720484Z,2026-04-23T05:29:35.311511Z
KXHIGHAUS,KXHIGHAUS-26APR22,KXHIGHAUS-26APR22-B85.5,85° to 86°,0.0375,0.184,0.9802,1,805,2026-04-21T14:04:08.72432Z,2026-04-23T03:55:40.224713Z
KXHIGHAUS,KXHIGHAUS-26APR22,KXHIGHAUS-26APR22-B83.5,83° to 84°,0.1089,0.7906,0.01,0,1162,2026-04-21T14:04:08.723415Z,2026-04-23T05:46:29.537929Z
KXHIGHAUS,KXHIGHAUS-26APR22,KXHIGHAUS-26APR22-B81.5,81° to 82°,0.2572,0.3079,0.01,0,958,2026-04-21T14:04:08.722464Z,2026-04-23T05:30:12.163595Z
KXHIGHAUS,KXHIGHAUS-26APR22,KXHIGHAUS-26APR22-T86,87° or above,0.0302,0.0327,0.0181,0,250,2026-04-21T14:02:02.138325Z,2026-04-23T04:21:24.327018Z
KXHIGHAUS,KXHIGHAUS-26APR21,KXHIGHAUS-26APR21-B72.5,72° to 73°,0.0246,0.0241,0.015,0,132,2026-04-20T14:06:00.547185Z,2026-04-22T03:33:01.703813Z
KXHIGHAUS,KXHIGHAUS-26APR21,KXHIGHAUS-26APR21-T66,65° or below,0.2866,0.489,0.9146,1,2031,2026-04-20T14:01:46.307572Z,2026-04-22T05:17:56.431639Z
KXHIGHAUS,KXHIGHAUS-26APR21,KXHIGHAUS-26APR21-B70.5,70° to 71°,0.0553,0.0487,0.0107,0,265,2026-04-20T15:18:46.293606Z,2026-04-22T05:21:39.305062Z
KXHIGHAUS,KXHIGHAUS-26APR21,KXHIGHAUS-26APR21-T73,74° or above,0.0228,0.0162,0.0105,0,80,2026-04-20T14:04:37.795918Z,2026-04-22T05:00:12.671816Z
KXHIGHAUS,KXHIGHAUS-26APR21,KXHIGHAUS-26APR21-B68.5,68° to 69°,0.2834,0.2487,0.0333,0,810,2026-04-20T14:06:00.546748Z,2026-04-22T05:51:20.351246Z
KXHIGHAUS,KXHIGHAUS-26APR21,KXHIGHAUS-26APR21-B66.5,66° to 67°,0.3367,0.3033,0.0263,0,1229,2026-04-20T14:06:00.546624Z,2026-04-22T05:56:55.697255Z
KXHIGHAUS,KXHIGHAUS-26APR20,KXHIGHAUS-26APR20-B70.5,70° to 71°,0.0429,0.0446,0.0167,0,162,2026-04-19T16:15:25.714828Z,2026-04-21T05:35:09.744118Z
KXHIGHAUS,KXHIGHAUS-26APR20,KXHIGHAUS-26APR20-T71,72° or above,0.0562,0.0219,0.01,0,150,2026-04-19T14:09:26.133387Z,2026-04-20T20:05:01.851113Z
KXHIGHAUS,KXHIGHAUS-26APR20,KXHIGHAUS-26APR20-B66.5,66° to 67°,0.2792,0.1437,0.013,0,682,2026-04-19T14:09:04.847506Z,2026-04-21T05:42:59.296677Z
KXHIGHAUS,KXHIGHAUS-26APR20,KXHIGHAUS-26APR20-B68.5,68° to 69°,0.2491,0.1725,0.0117,0,418,2026-04-19T14:09:22.718642Z,2026-04-21T04:50:43.811293Z
KXHIGHAUS,KXHIGHAUS-26APR20,KXHIGHAUS-26APR20-T64,63° or below,0.1238,0.6229,0.9876,1,1362,2026-04-19T14:07:07.548903Z,2026-04-21T05:49:01.086179Z
KXHIGHAUS,KXHIGHAUS-26APR20,KXHIGHAUS-26APR20-B64.5,64° to 65°,0.209,0.2961,0.0104,0,959,2026-04-19T14:55:18.067756Z,2026-04-21T05:49:30.738052Z
KXHIGHAUS,KXHIGHAUS-26APR19,KXHIGHAUS-26APR19-B77.5,77° to 78°,0.0464,0.0317,0.0103,0,297,2026-04-18T14:04:34.942022Z,2026-04-20T00:00:13.709458Z
KXHIGHAUS,KXHIGHAUS-26APR19,KXHIGHAUS-26APR19-B75.5,75° to 76°,0.3219,0.3777,0.0112,0,966,2026-04-18T14:05:03.237972Z,2026-04-20T00:24:45.172006Z
KXHIGHAUS,KXHIGHAUS-26APR19,KXHIGHAUS-26APR19-T78,79° or above,0.0245,0.0675,0.01,0,195,2026-04-18T14:04:34.419935Z,2026-04-20T00:00:03.818249Z
KXHIGHAUS,KXHIGHAUS-26APR19,KXHIGHAUS-26APR19-B73.5,73° to 74°,0.3442,0.576,0.0122,0,1037,2026-04-18T14:01:51.619739Z,2026-04-20T05:56:11.20611Z
KXHIGHAUS,KXHIGHAUS-26APR19,KXHIGHAUS-26APR19-T71,70° or below,0.0492,0.1455,0.0107,0,377,2026-04-18T14:06:53.38677Z,2026-04-20T05:05:54.215665Z
KXHIGHAUS,KXHIGHAUS-26APR19,KXHIGHAUS-26APR19-B71.5,71° to 72°,0.1451,0.3531,0.99,1,1054,2026-04-18T14:02:47.319781Z,2026-04-20T05:46:23.779788Z
KXHIGHAUS,KXHIGHAUS-26APR18,KXHIGHAUS-26APR18-T71,70° or below,0.0879,0.0191,0.01,0,227,2026-04-17T14:06:49.948158Z,2026-04-19T05:26:28.084632Z
KXHIGHAUS,KXHIGHAUS-26APR18,KXHIGHAUS-26APR18-T78,79° or above,0.1506,0.0227,0.0111,0,361,2026-04-17T14:02:15.027227Z,2026-04-19T05:55:45.908259Z
KXHIGHAUS,KXHIGHAUS-26APR18,KXHIGHAUS-26APR18-B77.5,77° to 78°,0.2065,0.0549,0.0105,0,314,2026-04-17T14:23:42.254307Z,2026-04-19T05:27:11.974264Z
KXHIGHAUS,KXHIGHAUS-26APR18,KXHIGHAUS-26APR18-B73.5,73° to 74°,0.2406,0.6821,0.99,1,830,2026-04-17T14:14:22.750024Z,2026-04-19T04:53:09.338672Z
KXHIGHAUS,KXHIGHAUS-26APR18,KXHIGHAUS-26APR18-B71.5,71° to 72°,0.0874,0.1955,0.01,0,396,2026-04-17T14:10:00.160154Z,2026-04-19T05:29:12.064369Z
KXHIGHAUS,KXHIGHAUS-26APR18,KXHIGHAUS-26APR18-B75.5,75° to 76°,0.2447,0.2808,0.01,0,730,2026-04-17T14:13:08.732541Z,2026-04-19T05:26:55.17907Z
KXHIGHAUS,KXHIGHAUS-26APR17,KXHIGHAUS-26APR17-T87,86° or below,0.0461,0.0154,0.01,0,274,2026-04-16T14:01:59.855619Z,2026-04-18T04:55:20.109169Z
KXHIGHAUS,KXHIGHAUS-26APR17,KXHIGHAUS-26APR17-T94,95° or above,0.0242,0.0167,0.01,0,158,2026-04-16T14:01:35.518896Z,2026-04-17T23:35:37.447879Z
